measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,164,Nepal,1,Male,11,30-34 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.07576319587773907,0.12377923543329965,0.036290809094641004
1,Deaths,164,Nepal,2,Female,11,30-34 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.06579796351622347,0.12528304642805455,0.027749103429967326
1,Deaths,164,Nepal,3,Both,11,30-34 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.07133514521696536,0.11100455743415161,0.04128047345861528
1,Deaths,164,Nepal,1,Male,12,35-39 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.079602194374578,0.12836535605780955,0.039394729701413944
1,Deaths,164,Nepal,2,Female,12,35-39 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.06330198037289984,0.11419433670672571,0.025289043836120458
1,Deaths,164,Nepal,3,Both,12,35-39 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.07299028504070751,0.11389949988247625,0.043045958870256244
1,Deaths,164,Nepal,1,Male,13,40-44 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.09652064060592906,0.15161103082909055,0.052076870985652446
1,Deaths,164,Nepal,2,Female,13,40-44 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.07368593130642451,0.12803688785699188,0.0327404005078386
1,Deaths,164,Nepal,3,Both,13,40-44 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08776484734606785,0.13217706882911104,0.05343649392404624
1,Deaths,164,Nepal,1,Male,14,45-49 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.10526705265538436,0.157606044411988,0.060391695419195875
1,Deaths,164,Nepal,2,Female,14,45-49 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08426061628738923,0.13288652152098884,0.04102277544843898
1,Deaths,164,Nepal,3,Both,14,45-49 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.09626283892805633,0.1405233777521328,0.060224599317696095
1,Deaths,164,Nepal,1,Male,15,50-54 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.105675618208003,0.15476475835647208,0.06093298621989165
1,Deaths,164,Nepal,2,Female,15,50-54 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08801619374464968,0.13299793476338653,0.04418308914345631
1,Deaths,164,Nepal,3,Both,15,50-54 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.09836104841157921,0.1412066820804813,0.06094053196627933
1,Deaths,164,Nepal,1,Male,25,50-69 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08323722404847606,0.12500398904031418,0.0458689318582403
1,Deaths,164,Nepal,2,Female,25,50-69 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08275142958415752,0.1251943668635971,0.043100380315896004
1,Deaths,164,Nepal,3,Both,25,50-69 years,409,Non-communicable diseases,367,High LDL cholesterol,2,Percent,2000,0.08306801659890106,0.12142004978065639,0.050147170742375
1,Deaths,164,Nepal,1,Male,11,30-34 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.12954639819497793,0.18110310185186823,0.09254419956221974
1,Deaths,164,Nepal,2,Female,11,30-34 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.08819029419858626,0.12438665229904142,0.05685543443396617
1,Deaths,164,Nepal,3,Both,11,30-34 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.1108319043066724,0.14571315436538826,0.0794026335408917
1,Deaths,164,Nepal,1,Male,12,35-39 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.1542800143910213,0.2072283835169389,0.11520501419584668
1,Deaths,164,Nepal,2,Female,12,35-39 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.11692171261767911,0.1563077163309564,0.08250091980974768
1,Deaths,164,Nepal,3,Both,12,35-39 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.13905320785772046,0.1817983327191191,0.10293654104740704
1,Deaths,164,Nepal,1,Male,13,40-44 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.1979829648967866,0.25383001534046623,0.1498452482732759
1,Deaths,164,Nepal,2,Female,13,40-44 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.15343904380490397,0.198010059148331,0.11067995283570331
1,Deaths,164,Nepal,3,Both,13,40-44 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.18068227207470514,0.2245175478519671,0.14058414235606811
1,Deaths,164,Nepal,1,Male,14,45-49 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.2556561633052604,0.3161256576311358,0.2040005389176587
1,Deaths,164,Nepal,2,Female,14,45-49 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.19761079297450337,0.24845587422370455,0.15026872157600507
1,Deaths,164,Nepal,3,Both,14,45-49 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.23024082348279054,0.2769138445685284,0.1866760396506479
1,Deaths,164,Nepal,1,Male,15,50-54 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.290895134917475,0.3533507063780356,0.2422990894051123
1,Deaths,164,Nepal,2,Female,15,50-54 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.23539363876229719,0.29624717683909463,0.1800342085185737
1,Deaths,164,Nepal,3,Both,15,50-54 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.26764016710842137,0.3190188754552096,0.22053244225758767
1,Deaths,164,Nepal,1,Male,25,50-69 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.32265532719946166,0.38323719501608844,0.2703282325928567
1,Deaths,164,Nepal,2,Female,25,50-69 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.26222492485668136,0.32228473464735763,0.2058938535041556
1,Deaths,164,Nepal,3,Both,25,50-69 years,409,Non-communicable diseases,98,Tobacco,2,Percent,2000,0.29622146221545087,0.35096332513893336,0.24667596839608805
1,Deaths,164,Nepal,1,Male,11,30-34 years,409,Non-communicable diseases,99,Smoking,2,Percent,2000,0.10039484790345767,0.14270660791854084,0.06787569135426591
1,Deaths,164,Nepal,2,Female,11,30-34 years,409,Non-communicable diseases,99,Smoking,2,Percent,2000,0.06188176283567504,0.09429554809372087,0.037577014467858855
1,Deaths,164,Nepal,3,Both,11,30-34 years,409,Non-communicable diseases,99,Smoking,2,Percent,2000,0.08297454997087514,0.11496452883523468,0.057731897073993996
1,Deaths,164,Nepal,1,Male,12,35-39 years,409,Non-communicable diseases,99,Smoking,2,Percent,2000,0.12236611497253143,0.16646100891463217,0.08692234099081361
